Delta_Sector_ID,Delta_Sector,Delta_Sub_Industry,NAICS_Code,NAICS_Title,Mapping_Type
12,Media Publishing & Entertainment,Film & TV,5121,Motion Picture and Video Industries,Direct
12,Media Publishing & Entertainment,Music,5122,Sound Recording Industries,Direct
12,Media Publishing & Entertainment,Broadcasting,516,Broadcasting and Content Providers,Direct
13,Energy & Utilities,Oil & Gas,2111,Oil and Gas Extraction,Composite
13,Energy & Utilities,Electric Utilities,2211,Electric Power Generation Transmission Distribution,Direct
13,Energy & Utilities,Gas Utilities,2212,Natural Gas Distribution,Direct
14,Architecture & Engineering Firms,Architecture,54131,Architectural Services,Direct
14,Architecture & Engineering Firms,Engineering,54133,Engineering Services,Direct
14,Architecture & Engineering Firms,Testing,54138,Testing Laboratories and Services,Direct
15,Manufacturing,Food Manufacturing,311,Food Manufacturing,Direct
15,Manufacturing,Beverage & Tobacco,312,Beverage and Tobacco Product Manufacturing,Direct
15,Manufacturing,Chemical Manufacturing,325,Chemical Manufacturing,Direct
15,Manufacturing,Plastics & Rubber,326,Plastics and Rubber Products Manufacturing,Direct
15,Manufacturing,Primary Metals,331,Primary Metal Manufacturing,Direct
15,Manufacturing,Fabricated Metals,332,Fabricated Metal Product Manufacturing,Direct
15,Manufacturing,Machinery,333,Machinery Manufacturing,Direct
15,Manufacturing,Electrical Equipment,335,Electrical Equipment Appliance and Component Mfg,Direct
15,Manufacturing,Transportation Equipment,336,Transportation Equipment Manufacturing,Direct
16,Retail Trade,Motor Vehicle Dealers,441,Motor Vehicle and Parts Dealers,Direct
16,Retail Trade,Food & Beverage Retailers,445,Food and Beverage Retailers,Direct
16,Retail Trade,General Merchandise,452,General Merchandise Stores,Direct
16,Retail Trade,Health & Personal Care,455,Health and Personal Care Retailers,Direct
16,Retail Trade,Clothing & Accessories,456,Clothing Clothing Accessories Shoe and Jewelry Retailers,Direct
17,Construction,Building Construction,236,Construction of Buildings,Direct
17,Construction,Heavy & Civil Engineering,237,Heavy and Civil Engineering Construction,Direct
17,Construction,Specialty Trade Contractors,238,Specialty Trade Contractors,Direct
18,Transportation & Warehousing,Air Transportation,481,Air Transportation,Direct
18,Transportation & Warehousing,Rail Transportation,482,Rail Transportation,Direct
18,Transportation & Warehousing,Truck Transportation,484,Truck Transportation,Direct
18,Transportation & Warehousing,Transit & Ground Passenger,485,Transit and Ground Passenger Transportation,Direct
18,Transportation & Warehousing,Support Activities,488,Support Activities for Transportation,Direct
18,Transportation & Warehousing,Couriers & Messengers,492,Couriers and Messengers,Direct
18,Transportation & Warehousing,Warehousing & Storage,493,Warehousing and Storage,Direct
19,Wholesale Trade,Durable Goods,423,Merchant Wholesalers Durable Goods,Direct
19,Wholesale Trade,Nondurable Goods,424,Merchant Wholesalers Nondurable Goods,Direct
19,Wholesale Trade,Electronic Markets & Agents,4251,Wholesale Trade Agents and Brokers,Direct
20,Accommodation & Food Services,Accommodation,721,Accommodation,Direct
20,Accommodation & Food Services,Food Services & Drinking Places,722,Food Services and Drinking Places,Direct
